,cand_id,country,endMonth,endYear,name,startMonth,startYear
2,3271.0,,Present,2007,b'Ontario College of Art and Design',,2003.0
3,3271.0,,Present,2006,b'University of Toronto',,2004.0
0,3272.0,,Present,Present,b'Universit\xc3\x83\xc2\xa9 de Sherbrooke',,
1,3272.0,,Present,Present,b'University of Bucharest',,
2,3272.0,,Present,Present,b'Concordia University',,
3,3272.0,,Present,Present,b'Concordia University',,
4,3272.0,,Present,2006,b'Universit\xc3\x83\xc2\xa9 de Sherbrooke',,2005.0
5,3272.0,,Present,1998,b'University of Bucharest',,1992.0
0,3273.0,,Present,Present,b'Universidade Anhembi Morumbi',,
1,3273.0,,Present,Present,b'Santo ivo',,
2,3273.0,,Present,2006,b'Universidade Anhembi Morumbi',,2002.0
0,3277.0,,Present,Present,b'University of Waterloo',,
1,3277.0,,Present,2010,b'University of Waterloo',,2005.0
0,3289.0,,Present,Present,b'Sofia University St. Kliment Ohridski',,
1,3289.0,,Present,Present,b'University of Toronto',,
2,3289.0,,Present,1998,b'Sofia University St. Kliment Ohridski',,1992.0
3,3289.0,,Present,2002,b'University of Toronto',,1999.0
0,3293.0,,Present,Present,b'Shenyang University of Technology',,
1,3293.0,,Present,Present,b'The University of British Columbia',,
2,3293.0,,Present,Present,b'Northeastern University (CN)',,
3,3293.0,,Present,2012,b'The University of British Columbia',,2010.0
4,3293.0,,Present,2003,b'Shenyang University of Technology',,2000.0
5,3293.0,,Present,2003,b'Northeastern University (CN)',,2001.0
0,3298.0,,Present,Present,b'South China University of Technology',,
1,3298.0,,Present,1992,b'South China University of Technology',,1988.0
0,3299.0,,Present,2008,b'Far Eastern National University',,2003.0
0,3306.0,,Present,Present,b'University of Guelph',,
1,3306.0,,Present,2004,b'University of Guelph',,2000.0
0,3308.0,,Present,Present,b'The University of British Columbia',,
1,3308.0,,Present,2004,b'The University of British Columbia',,2001.0
0,3310.0,,Present,Present,b'University of Waterloo',,
1,3310.0,,Present,2010,b'University of Waterloo',,2005.0
0,3311.0,,Present,Present,"b""\xc3\x85\xc2\xbditomirs'kij In\xc3\x85\xc2\xbeenerno-tehnologicnij Institut""",,
1,3311.0,,Present,2001,"b""\xc3\x85\xc2\xbditomirs'kij In\xc3\x85\xc2\xbeenerno-tehnologicnij Institut""",,1996.0
0,3316.0,,Present,Present,b'Shenyang Institute of Aeronautical Engineering',,
1,3316.0,,Present,1998,b'Shenyang Institute of Aeronautical Engineering',,1994.0
0,3319.0,,Present,Present,b'University of Toronto',,
1,3319.0,,Present,2006,b'University of Toronto',,2001.0
0,3320.0,,Present,2007,b'College of Information Science and Technology; Chengdu University',,2003.0
0,3321.0,,Present,Present,b'Western University',,
1,3321.0,,Present,2004,b'Western University',,2002.0
0,3329.0,,Present,Present,b'Kyung Hee University',,
1,3329.0,,Present,2008,b'Kyung Hee University',,2004.0
0,3334.0,,Present,Present,b'Concordia University',,
1,3334.0,,Present,2002,b'Concordia University',,1999.0
0,3335.0,,Present,2005,"b'University of Victoria, Victoria'",,2000.0
0,3340.0,,Present,Present,b'University of Toronto',,
1,3340.0,,Present,2011,b'IBM',,2011.0
2,3340.0,,Present,2009,b'SUN',,2009.0
3,3340.0,,Present,2008,b'University of Toronto',,2008.0
0,3341.0,,Present,Present,b'Universidad Nacional Aut\xc3\x83\xc2\xb3noma de M\xc3\x83\xc2\xa9xico',,
1,3341.0,,Present,Present,b'McMaster University',,
2,3341.0,,Present,2002,b'Universidad Nacional Aut\xc3\x83\xc2\xb3noma de M\xc3\x83\xc2\xa9xico',,1997.0
3,3341.0,,Present,2007,b'McMaster University',,2005.0
