,cand_id,country,endMonth,endYear,locationName,name,startMonth,startYear
2,617.0,US,Present,Present,,Dell SonicWALL,5.0,2012.0
3,617.0,US,Present,2003,,Fasturn,,2001.0
0,618.0,US,4,2012,,Coupons Inc.,4.0,2011.0
1,618.0,US,Present,Present,Mountain view,Coupons.com,1.0,2013.0
2,618.0,US,9,2008,,Microsoft,9.0,2007.0
3,618.0,GB,4,2011,,Pie Digital,6.0,2009.0
4,618.0,US,Present,2006,,InnoMedia,,2006.0
0,619.0,US,7,2015,San Francisco Bay Area,BrightRoll,3.0,2015.0
1,619.0,US,10,2014,San Francisco Bay Area,"IDG Consumer & SMB Brands (Macworld, PCWorld, TechHive, & Greenbot)",3.0,2014.0
2,619.0,US,Present,Present,San Francisco Bay Area,Yahoo,9.0,2016.0
3,619.0,US,9,2016,San Francisco Bay Area,Yahoo,3.0,2015.0
4,619.0,US,3,2014,San Francisco Bay Area,Network World,6.0,2013.0
5,619.0,,1,2009,,Antelope Neighborhood Accountability Board,1.0,2007.0
0,620.0,US,7,2014,Palm Beach Gardens,Biomet 3i,11.0,2012.0
1,620.0,US,Present,Present,Greater Milwaukee Area,Dohmen Life Science Services,1.0,2016.0
2,620.0,US,11,2012,Palm Beach Gardens,Biomet 3i,11.0,2010.0
3,620.0,US,11,2011,Palm Beach Gardens,Biomet 3i,5.0,2008.0
4,620.0,US,11,2015,"San Angelo, Texas Area",BEPC Inc,9.0,2015.0
5,620.0,US,11,2013,,St. Rita Catholic Church,5.0,2010.0
0,621.0,US,Present,Present,San Francisco Bay Area,IPsoft,6.0,2005.0
1,621.0,,Present,2002,,Sonata Software Ltd & ODSI,,1995.0
2,621.0,MX,Present,1995,,NIIT,,1993.0
3,621.0,US,1,2005,,Ensenda,7.0,2002.0
4,621.0,US,6,2005,,CNET Networks,2.0,2005.0
0,622.0,IN,6,2010,"Bengaluru Area, India",Mindteck,1.0,2010.0
1,622.0,US,Present,Present,San Francisco Bay Area,Citrix Systems,2.0,2012.0
2,622.0,US,8,2011,"Hillsboro, Oregon",Intel Corporation,5.0,2011.0
0,624.0,US,Present,2011,,"Ophtec USA, Inc.",,2008.0
1,624.0,US,1,2015,,"Tria Beauty, Inc.",11.0,2011.0
2,624.0,US,12,2016,,ZELTIQ,3.0,2015.0
3,624.0,US,Present,Present,,ZELTIQ,1.0,2017.0
0,625.0,US,11,2016,"Tampa/St. Petersburg, Florida Area",Accusoft,12.0,2014.0
1,625.0,US,3,2014,,NEWSCYCLE Solutions,6.0,2010.0
2,625.0,US,Present,Present,,AutoLoop,11.0,2016.0
3,625.0,US,12,2014,"Tampa/St. Petersburg, Florida Area",Accusoft,3.0,2014.0
4,625.0,US,Present,2009,,World Publishing Co.,,2007.0
5,625.0,US,11,2016,"Tampa/St. Petersburg, Florida Area",Accusoft,12.0,2014.0
6,625.0,US,3,2014,,NEWSCYCLE Solutions,6.0,2010.0
7,625.0,US,Present,Present,,AutoLoop,11.0,2016.0
8,625.0,US,12,2014,"Tampa/St. Petersburg, Florida Area",Accusoft,3.0,2014.0
9,625.0,US,Present,2009,,World Publishing Co.,,2007.0
0,626.0,US,3,2015,San Francisco Bay Area,Chegg Inc.,6.0,2014.0
1,626.0,US,4,2016,San Francisco Bay Area,Chegg Inc.,3.0,2015.0
2,626.0,US,2,2015,San Francisco Bay Area,InstaEDU (acquired by Chegg),12.0,2013.0
