,cand_id,country,endMonth,endYear,locationName,name,startMonth,startYear
1,889.0,,Present,Present,San Francisco Bay Area,Xavient Information Systems,5.0,2016.0
2,889.0,,4,2016,"Austin, Texas Area",3 M - Client of Cognizant,11.0,2015.0
3,889.0,,4,2016,"San Francisco, California Area",Cognizant,2.0,2011.0
4,889.0,,11,2015,San Francisco Bay Area,"eBay StubHub, A Cognizant client",7.0,2015.0
5,889.0,,5,2003,,Satyam Computer Services,5.0,2003.0
6,889.0,,Present,2006,,Utah Tamil Sangam,,2006.0
0,891.0,,3,2015,"Santa Clara, CA","Connected IO, Inc.",11.0,2014.0
1,891.0,,Present,Present,San Francisco,August Home Inc,9.0,2016.0
2,891.0,,12,2015,"Palo Alto, California",Nest,4.0,2015.0
3,891.0,,8,2016,San Francisco Bay Area,Nearby,4.0,2016.0
4,891.0,,1,2014,"Karaganda, Kazakhstan",âEurotechservice Kâ LLC,10.0,2011.0
0,892.0,,8,2013,San Francisco Bay Area,Cybernet Entertainment,3.0,2013.0
1,892.0,,2,2015,San Francisco Bay Area,Technorati Media,9.0,2013.0
2,892.0,,3,2013,San Francisco Bay Area,IO Group Inc. DBA Titan Media,6.0,2010.0
3,892.0,,Present,Present,,Anaplan,8.0,2015.0
4,892.0,,7,2015,,Sidecar,2.0,2015.0
0,893.0,,12,2004,"Toronto, Canada Area",Alias|Wavefront,5.0,2003.0
1,893.0,,Present,Present,San Francisco Bay Area,Industrial Light & Magic,4.0,2009.0
2,893.0,,4,2006,"Emeryville, California",Pixar Animation Studios,5.0,2005.0
3,893.0,,12,2006,"Emeryville, California",Pixar Animation Studios,8.0,2006.0
4,893.0,,4,2009,San Francisco Bay Area,Industrial Light & Magic,7.0,2007.0
5,893.0,,11,2013,,"Make-A-Wish Foundation, Greater Bay Area",11.0,2013.0
0,894.0,,5,2015,"Northfield, Il",Kraft Foods Group,9.0,2013.0
1,894.0,,Present,Present,,Foster Farms,5.0,2015.0
2,894.0,,5,2012,,Bel Brands USA,4.0,2007.0
3,894.0,,9,2013,Greater New York City Area,Lactalis American Group,6.0,2012.0
4,894.0,,Present,2007,,ConAgra Foods,,2004.0
0,895.0,,12,2003,,Radiant Research,4.0,2003.0
1,895.0,,9,2007,,"Evalve, Inc.",2.0,2006.0
2,895.0,,Present,Present,,"Evalve, Inc.",,
3,895.0,,2,2006,,"Evalve, Inc.",8.0,2004.0
4,895.0,,8,2004,,First Clinical Research,12.0,2003.0
0,896.0,,Present,Present,,Novartis,6.0,2008.0
0,897.0,,Present,Present,"Segundo, CA",Internet Brands,7.0,2011.0
0,898.0,,Present,Present,,Jenny Lee Photography,1.0,2007.0
1,898.0,,2,2015,"Sunnyvale, California",Apple Inc.,12.0,2014.0
2,898.0,,Present,Present,,"CREATIVEPORK, Freelance Design",11.0,2008.0
3,898.0,,9,2014,"San Jose, CA",eBay Inc,4.0,2013.0
4,898.0,,12,2015,Menlo Park,Facebook,8.0,2015.0
5,898.0,,3,2010,,Symantec,3.0,2010.0
0,899.0,,6,2004,,neuf telecom,8.0,1999.0
1,899.0,,Present,Present,,SFR Business Team,5.0,2009.0
2,899.0,,5,2009,,Neuf Cegetel,6.0,2004.0
