,cand_id,country,ethnicity,candidate_country
187,875.0,,White/Caucasian,US
188,875.0,,White/Caucasian,US
189,876.0,,White/Caucasian,US
190,876.0,,White/Caucasian,US
191,878.0,,White/Caucasian,US
192,878.0,,White/Caucasian,US
193,878.0,,White/Caucasian,US
194,879.0,,White/Caucasian,US
195,879.0,,White/Caucasian,US
196,880.0,,White/Caucasian,US
197,880.0,,White/Caucasian,US
198,880.0,,White/Caucasian,US
199,880.0,,White/Caucasian,US
200,880.0,,White/Caucasian,US
201,881.0,,White/Caucasian,US
202,881.0,,White/Caucasian,US
203,881.0,,White/Caucasian,US
204,882.0,,White/Caucasian,GB
205,882.0,,White/Caucasian,GB
206,882.0,,White/Caucasian,GB
207,882.0,,White/Caucasian,GB
208,882.0,,White/Caucasian,GB
209,883.0,,White/Caucasian,US
210,883.0,,White/Caucasian,US
211,884.0,,Asian,US
212,884.0,,Asian,US
213,884.0,,Asian,US
214,884.0,,Asian,US
215,885.0,,White/Caucasian,US
216,885.0,,White/Caucasian,US
217,885.0,,White/Caucasian,US
218,885.0,,White/Caucasian,US
219,885.0,,White/Caucasian,US
220,889.0,,Asian,US
221,889.0,,Asian,US
222,889.0,,Asian,US
223,889.0,,Asian,US
224,889.0,,Asian,US
225,889.0,,Asian,US
226,891.0,,White/Caucasian,US
227,892.0,,White/Caucasian,US
228,892.0,,White/Caucasian,US
229,892.0,,White/Caucasian,US
230,892.0,,White/Caucasian,US
231,893.0,,White/Caucasian,US
232,893.0,,White/Caucasian,US
233,894.0,,White/Caucasian,US
234,894.0,,White/Caucasian,US
235,894.0,,White/Caucasian,US
236,895.0,,White/Caucasian,US
237,895.0,,White/Caucasian,US
238,895.0,,White/Caucasian,US
239,895.0,,White/Caucasian,US
240,895.0,,White/Caucasian,US
241,897.0,,Asian,US
242,897.0,,Asian,US
243,898.0,,Asian,US
244,898.0,,Asian,US
