,cand_id,country,ethnicity,candidate_country
185,843.0,,White/Caucasian,US
186,843.0,,White/Caucasian,US
187,843.0,,White/Caucasian,US
188,843.0,,White/Caucasian,US
189,844.0,,White/Caucasian,GB
190,844.0,,White/Caucasian,GB
191,844.0,,White/Caucasian,GB
192,844.0,,White/Caucasian,GB
193,844.0,,White/Caucasian,GB
194,845.0,,White/Caucasian,AT
195,845.0,,White/Caucasian,AT
196,845.0,,White/Caucasian,AT
197,845.0,,White/Caucasian,AT
198,845.0,,White/Caucasian,AT
199,846.0,,White/Caucasian,CH
200,846.0,,White/Caucasian,CH
201,846.0,,White/Caucasian,CH
202,846.0,,White/Caucasian,CH
203,846.0,,White/Caucasian,CH
204,847.0,,White/Caucasian,US
205,847.0,,White/Caucasian,US
206,847.0,,White/Caucasian,US
207,847.0,,White/Caucasian,US
208,847.0,,White/Caucasian,US
209,848.0,,White/Caucasian,US
210,848.0,,White/Caucasian,US
211,848.0,,White/Caucasian,US
212,848.0,,White/Caucasian,US
213,848.0,,White/Caucasian,US
214,849.0,,White/Caucasian,DE
215,849.0,,White/Caucasian,DE
216,849.0,,White/Caucasian,DE
217,849.0,,White/Caucasian,DE
218,849.0,,White/Caucasian,DE
219,850.0,,White/Caucasian,GB
220,850.0,,White/Caucasian,GB
221,850.0,,White/Caucasian,GB
222,850.0,,White/Caucasian,GB
223,850.0,,White/Caucasian,GB
224,851.0,,Asian,US
225,851.0,,Asian,US
226,851.0,,Asian,US
227,851.0,,Asian,US
228,851.0,,Asian,US
229,852.0,,White/Caucasian,US
230,852.0,,White/Caucasian,US
231,852.0,,White/Caucasian,US
232,852.0,,White/Caucasian,US
233,852.0,,White/Caucasian,US
234,853.0,,White/Caucasian,GB
235,853.0,,White/Caucasian,GB
236,853.0,,White/Caucasian,GB
237,853.0,,White/Caucasian,GB
238,853.0,,White/Caucasian,GB
239,854.0,,Asian,US
240,854.0,,Asian,US
241,854.0,,Asian,US
242,854.0,,Asian,US
243,854.0,,Asian,US
244,857.0,,Asian,US
245,857.0,,Asian,US
246,857.0,,Asian,US
247,857.0,,Asian,US
248,857.0,,Asian,US
249,859.0,,Asian,US
250,859.0,,Asian,US
251,859.0,,Asian,US
252,859.0,,Asian,US
253,859.0,,Asian,US
254,860.0,,Asian,US
255,860.0,,Asian,US
256,860.0,,Asian,US
257,860.0,,Asian,US
258,860.0,,Asian,US
259,861.0,,Asian,US
260,862.0,,White/Caucasian,US
261,862.0,,White/Caucasian,US
262,862.0,,White/Caucasian,US
263,862.0,,White/Caucasian,US
264,862.0,,White/Caucasian,US
265,863.0,,White/Caucasian,US
266,863.0,,White/Caucasian,US
267,863.0,,White/Caucasian,US
268,863.0,,White/Caucasian,US
269,863.0,,White/Caucasian,US
270,864.0,,White/Caucasian,GB
271,864.0,,White/Caucasian,GB
272,864.0,,White/Caucasian,GB
273,864.0,,White/Caucasian,GB
274,866.0,,White/Caucasian,US
275,866.0,,White/Caucasian,US
276,867.0,,White/Caucasian,US
277,867.0,,White/Caucasian,US
278,867.0,,White/Caucasian,US
279,867.0,,White/Caucasian,US
280,867.0,,White/Caucasian,US
281,868.0,,Hispanic/Latino,US
282,868.0,,Hispanic/Latino,US
283,868.0,,Hispanic/Latino,US
284,870.0,,Asian,US
285,870.0,,Asian,US
286,870.0,,Asian,US
287,870.0,,Asian,US
288,870.0,,Asian,US
289,871.0,,Asian,US
290,871.0,,Asian,US
291,871.0,,Asian,US
292,871.0,,Asian,US
293,871.0,,Asian,US
294,872.0,,White/Caucasian,US
295,873.0,,Hispanic/Latino,US
296,873.0,,Hispanic/Latino,US
297,873.0,,Hispanic/Latino,US
298,873.0,,Hispanic/Latino,US
299,873.0,,Hispanic/Latino,US
300,873.0,,Hispanic/Latino,US
301,873.0,,Hispanic/Latino,US
302,874.0,,White/Caucasian,US
303,874.0,,White/Caucasian,US
304,874.0,,White/Caucasian,US
305,874.0,,White/Caucasian,US
306,874.0,,White/Caucasian,US
307,875.0,,White/Caucasian,US
308,875.0,,White/Caucasian,US
309,875.0,,White/Caucasian,US
310,875.0,,White/Caucasian,US
311,875.0,,White/Caucasian,US
312,875.0,,White/Caucasian,US
313,875.0,,White/Caucasian,US
314,875.0,,White/Caucasian,US
315,876.0,,White/Caucasian,US
316,876.0,,White/Caucasian,US
317,878.0,,White/Caucasian,US
318,878.0,,White/Caucasian,US
319,878.0,,White/Caucasian,US
320,878.0,,White/Caucasian,US
321,878.0,,White/Caucasian,US
322,879.0,,White/Caucasian,US
323,879.0,,White/Caucasian,US
324,879.0,,White/Caucasian,US
325,879.0,,White/Caucasian,US
326,879.0,,White/Caucasian,US
327,880.0,,White/Caucasian,US
328,880.0,,White/Caucasian,US
329,880.0,,White/Caucasian,US
330,880.0,,White/Caucasian,US
331,880.0,,White/Caucasian,US
332,881.0,,White/Caucasian,US
333,881.0,,White/Caucasian,US
334,881.0,,White/Caucasian,US
335,881.0,,White/Caucasian,US
336,881.0,,White/Caucasian,US
337,882.0,,White/Caucasian,GB
338,882.0,,White/Caucasian,GB
339,882.0,,White/Caucasian,GB
340,882.0,,White/Caucasian,GB
341,883.0,,White/Caucasian,US
342,883.0,,White/Caucasian,US
343,883.0,,White/Caucasian,US
344,883.0,,White/Caucasian,US
345,883.0,,White/Caucasian,US
346,884.0,,Asian,US
347,884.0,,Asian,US
348,884.0,,Asian,US
349,884.0,,Asian,US
350,884.0,,Asian,US
351,885.0,,White/Caucasian,US
352,885.0,,White/Caucasian,US
353,885.0,,White/Caucasian,US
354,885.0,,White/Caucasian,US
355,885.0,,White/Caucasian,US
356,887.0,,White/Caucasian,GB
357,887.0,,White/Caucasian,GB
358,887.0,,White/Caucasian,GB
359,887.0,,White/Caucasian,GB
360,887.0,,White/Caucasian,GB
361,889.0,,Asian,US
362,889.0,,Asian,US
363,889.0,,Asian,US
364,889.0,,Asian,US
365,889.0,,Asian,US
366,889.0,,Asian,US
367,889.0,,Asian,US
368,891.0,,White/Caucasian,US
369,891.0,,White/Caucasian,US
370,891.0,,White/Caucasian,US
371,891.0,,White/Caucasian,US
372,891.0,,White/Caucasian,US
373,892.0,,White/Caucasian,US
374,892.0,,White/Caucasian,US
375,892.0,,White/Caucasian,US
376,892.0,,White/Caucasian,US
377,892.0,,White/Caucasian,US
378,893.0,,White/Caucasian,US
379,893.0,,White/Caucasian,US
380,893.0,,White/Caucasian,US
381,893.0,,White/Caucasian,US
382,893.0,,White/Caucasian,US
383,893.0,,White/Caucasian,US
384,894.0,,White/Caucasian,US
385,894.0,,White/Caucasian,US
386,894.0,,White/Caucasian,US
387,894.0,,White/Caucasian,US
388,894.0,,White/Caucasian,US
389,895.0,,White/Caucasian,US
390,895.0,,White/Caucasian,US
391,895.0,,White/Caucasian,US
392,895.0,,White/Caucasian,US
393,895.0,,White/Caucasian,US
394,896.0,,White/Caucasian,US
395,897.0,,Asian,US
396,898.0,,Asian,US
397,898.0,,Asian,US
398,898.0,,Asian,US
399,898.0,,Asian,US
400,898.0,,Asian,US
401,898.0,,Asian,US
402,899.0,,White/Caucasian,FR
403,899.0,,White/Caucasian,FR
404,899.0,,White/Caucasian,FR
